user_id,track_id,artists,album_name,track_name,popularity,duration_ms,danceability,energy,liveness,valence,tempo,track_genre
0,10000,Gen Hoshino,Comedy,Comedy,73,230666,0.676,0.461,0.358,0.715,87.917,pop
1,10001,Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,55,149610,0.42,0.166,0.101,0.267,77.489,pop
2,10002,Ingrid Michaelson;ZAYN,To Begin Again,To Begin Again,57,210826,0.438,0.359,0.117,0.12,76.332,pop
3,10003,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),Can't Help Falling In Love,71,201933,0.266,0.0596,0.132,0.143,181.74,pop
4,10004,Chord Overstreet,Hold On,Hold On,82,198853,0.618,0.443,0.0829,0.167,119.949,pop
5,10005,Tyrone Wells,Days I Will Remember,Days I Will Remember,58,214240,0.688,0.481,0.189,0.666,98.017,pop
6,10006,A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,74,229400,0.407,0.147,0.0913,0.0765,141.284,pop
7,10007,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,80,242946,0.703,0.444,0.0973,0.712,150.96,pop
8,10008,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,74,189613,0.625,0.414,0.151,0.669,130.088,pop
9,10009,Ross Copperman,Hunger,Hunger,56,205594,0.442,0.632,0.0735,0.196,78.899,pop
10,10010,Zack Tabudlo,Episode,Give Me Your Forever,74,244800,0.627,0.363,0.0928,0.301,99.905,pop
11,10011,Jason Mraz,Love Is a Four Letter Word,I Won't Give Up,69,240165,0.483,0.303,0.115,0.139,133.406,pop
12,10012,Dan Berk,Solo,Solo,52,198712,0.489,0.314,0.113,0.607,124.234,pop
13,10013,Anna Hamilton,Bad Liar,Bad Liar,62,248448,0.691,0.234,0.12,0.209,87.103,pop
14,10014,Chord Overstreet;Deepend,Hold On (Remix),Hold On - Remix,56,188133,0.755,0.78,0.121,0.387,120.004,pop
15,10015,Landon Pigg,The Boy Who Never,Falling in Love at a Coffee Shop,58,244986,0.489,0.561,0.179,0.238,83.457,pop
16,10016,Andrew Foy;Renee Foy,ily (i love you baby),ily (i love you baby),56,129750,0.706,0.112,0.125,0.414,110.154,pop
17,10017,Andrew Foy;Renee Foy,At My Worst,At My Worst,54,169728,0.795,0.0841,0.0853,0.609,91.803,pop
18,10018,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,68,189613,0.625,0.414,0.151,0.669,130.088,pop
19,10019,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 4",Photograph,67,260186,0.717,0.32,0.107,0.322,107.946,pop
20,10020,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,75,242946,0.703,0.444,0.0973,0.712,150.96,pop
21,10021,Boyce Avenue;Jennel Garcia,"Cover Sessions, Vol. 3",Demons,63,174174,0.678,0.351,0.355,0.569,90.032,pop
22,10022,A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,Say Something,70,229400,0.407,0.147,0.0913,0.0765,141.284,pop
23,10023,Jason Mraz,Coffee Moment,93 Million Miles,0,216386,0.572,0.454,0.0974,0.515,140.182,pop
24,10024,Jason Mraz,Human - Best Adult Pop Tunes,Unlonely,0,231266,0.796,0.667,0.221,0.754,97.988,pop
25,10025,Jason Mraz,Mellow Adult Pop,Bella Luna,1,302346,0.755,0.454,0.236,0.33,120.06,pop
26,10026,Jason Mraz,Holly Jolly Christmas,Winter Wonderland,0,131760,0.62,0.309,0.146,0.664,145.363,pop
27,10027,Jason Mraz,Feeling Good - Adult Pop Favorites,If It Kills Me,0,273653,0.633,0.429,0.132,0.52,143.793,pop
28,10028,Jason Mraz,Christmas Time,Winter Wonderland,0,131760,0.62,0.309,0.146,0.664,145.363,pop
29,10029,Jason Mraz,Perfect Christmas Hits,Winter Wonderland,0,131760,0.62,0.309,0.146,0.664,145.363,pop
30,10030,Jason Mraz,Merry Christmas,Winter Wonderland,0,131760,0.62,0.309,0.146,0.664,145.363,pop
31,10031,Jason Mraz,Christmas Music - Holiday Hits,Winter Wonderland,0,131760,0.62,0.309,0.146,0.664,145.363,pop
32,10032,Chord Overstreet,Christmas Country Songs 2022,All I Want For Christmas Is A Real Good Tan,0,234186,0.593,0.455,0.0914,0.564,202.019,pop
33,10033,Brandi Carlile;Sam Smith,Human - Best Adult Pop Tunes,Party of One,0,259558,0.296,0.206,0.0959,0.202,165.4,pop
34,10034,Brandi Carlile;Sam Smith,Feeling Good - Adult Pop Favorites,Party of One,0,259558,0.296,0.206,0.0959,0.202,165.4,pop
35,10035,Brandi Carlile;Sam Smith,Mellow Bars R'n'B,Party of One,0,259558,0.296,0.206,0.0959,0.202,165.4,pop
36,10036,KT Tunstall,Chill Christmas Dinner,Lonely This Christmas,0,257493,0.409,0.153,0.108,0.18,85.262,pop
37,10037,Brandi Carlile,rainy day indie,Throwing Good After Bad,0,247791,0.501,0.0952,0.0915,0.316,138.016,pop
38,10038,Brandi Carlile,Coffee Moment,This Time Tomorrow,0,206267,0.606,0.326,0.139,0.414,91.626,pop
39,10039,KT Tunstall,sadsadchristmas,Lonely This Christmas,0,257493,0.409,0.153,0.108,0.18,85.262,pop
40,10040,Eddie Vedder,Mega Hits Autumn/Fall 2022,The Haves,0,306794,0.474,0.519,0.107,0.326,151.832,pop
41,10041,Brandi Carlile,Mellow Adult Pop,When You're Wrong,0,266960,0.568,0.301,0.118,0.142,88.029,pop
42,10042,Brandi Carlile;Lucius,Country Car Hits,You and Me on the Rock,0,230098,0.568,0.686,0.0881,0.725,172.075,pop
43,10043,Brandi Carlile;Lucius,Country Road Songs,You and Me on the Rock,0,230098,0.568,0.686,0.0881,0.725,172.075,pop
44,10044,Brandi Carlile,Finest Country,"Speak Your Mind (From the Netflix Series ""We The People"")",0,193943,0.476,0.666,0.342,0.498,148.155,pop
45,10045,Brandi Carlile;Lucius,Easy Country,You and Me on the Rock,0,230098,0.568,0.686,0.0881,0.725,172.075,pop
46,10046,Brandi Carlile;Lucius,Cozy Country,You and Me on the Rock,0,230098,0.568,0.686,0.0881,0.725,172.075,pop
47,10047,Brandi Carlile;Lucius,Good Times Country,You and Me on the Rock,0,230098,0.568,0.686,0.0881,0.725,172.075,pop
48,10048,Brandi Carlile;Lucius,Laidback Country,You and Me on the Rock,0,230098,0.568,0.686,0.0881,0.725,172.075,pop
49,10049,Brandi Carlile;Lucius,Chillin' It - Mellow Day Country,You and Me on the Rock,0,230098,0.568,0.686,0.0881,0.725,172.075,pop
50,10050,Highland Peak,Trampoline (Acoustic),Trampoline - Acoustic,46,213098,0.596,0.2,0.0884,0.308,107.893,pop
51,10051,Motohiro Hata,Documentary,透明だった世界,61,232360,0.373,0.914,0.669,0.56,168.21,pop
52,10052,Andrew Belle,Black Bear,Pieces,60,241119,0.494,0.652,0.125,0.298,137.018,pop
53,10053,Ron Pope,The Bedroom Demos,A Drop in the Ocean,68,220239,0.447,0.393,0.28,0.564,73.139,pop
54,10054,Adam Christopher,So Far Away (Acoustic),So Far Away - Acoustic,52,171543,0.576,0.331,0.129,0.407,149.02,pop
55,10055,Andrew Belle,Black Bear,The Enemy,62,286865,0.536,0.89,0.131,0.273,121.974,pop
56,10056,Aron Wright,Build It Better,Build It Better,51,234473,0.526,0.333,0.111,0.159,94.951,pop
57,10057,Chord Overstreet,Sleepwalking in the Rain,Sleepwalking in the Rain,0,216000,0.501,0.381,0.119,0.502,80.075,pop
58,10058,Sara Bareilles,Little Voice,Gravity,67,232760,0.27,0.275,0.146,0.231,168.964,pop
59,10059,Chord Overstreet,What's Left of You,What's Left of You,57,178600,0.731,0.507,0.0912,0.265,117.969,pop
60,10060,Zack Tabudlo,Pano,Pano,75,254400,0.375,0.457,0.191,0.415,174.839,pop
61,10061,Andrew Belle,The Daylight EP,Sky's Still Blue,62,244320,0.43,0.791,0.11,0.217,171.864,pop
62,10062,Kurt Cobain,Montage Of Heck: The Home Recordings,And I Love Her,66,124933,0.616,0.282,0.13,0.435,96.638,pop
63,10063,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 3",We Can't Stop,64,222146,0.705,0.347,0.12,0.36,80.057,pop
64,10064,Tim Halperin,Covers,Always Be My Baby,62,181852,0.582,0.255,0.0889,0.285,139.884,pop
65,10065,Canyon City,Midnight Waves,Alone with You,58,186584,0.549,0.274,0.103,0.207,86.664,pop
66,10066,Aaron Espe,Making All Things New,Making All Things New,65,159600,0.787,0.355,0.111,0.48,99.978,pop
